1	48.291	12.569	0.048	76.410	0.590
2	49.251	16.418	0.269	37.853	39.147
3	47.238	19.657	0.738	26.001	50.999
4	46.077	21.888	1.353	19.804	57.196
5	42.988	24.109	2.338	15.798	61.202
6	49.463	29.072	4.166	13.310	63.690
7	40.991	28.011	6.465	10.951	66.049
8	42.136	34.529	8.449	10.709	66.291
9	49.141	33.380	11.768	9.224	67.776
10	43.754	39.380	14.266	8.708	68.292
11	47.472	40.066	18.341	7.377	69.623
12	41.247	40.277	20.296	6.999	70.001
13	43.709	46.539	30.729	5.943	71.057
14	46.612	49.839	31.005	5.449	71.551
15	40.516	47.559	42.069	6.483	70.517
16	42.729	51.157	45.238	6.371	70.629
17	47.734	53.039	49.507	6.294	70.706
18	44.319	59.532	65.797	5.019	71.981
19	47.695	61.652	72.763	4.357	72.643
20	48.757	60.792	78.216	4.250	72.750
